005f0fd0 ENDBR64
005f13e7 CALL 0x00511950
005f13ec OR EAX,0xffffffff
005f13ef JMP 0x005f100f
005f13f4 CALL 0x00511480
005f13f9 LEA RDX,[0x80fb10]
005f1400 MOV ESI,0x52
005f1405 LEA RDI,[0x80fa77]
005f140c CALL 0x005115a0
005f1411 XOR EAX,EAX
005f1413 XOR EDX,EDX
005f1415 MOV ESI,0xc0102
005f141a MOV EDI,0x26
005f141f CALL 0x00511950
005f1424 OR EAX,0xffffffff
005f1427 JMP 0x005f100f
