004257a0 ENDBR64
004257a4 PUSH RBX
004257a5 PUSH RBP
004257a6 PUSH R12
004257a8 PUSH R13
004257aa PUSH R14
004257ac PUSH R15
004257ae SUB RSP,0x118
00425869 SHL R10,0x3c
0042586d MOV byte ptr [RSP + 0x3],DL
00425871 OR RBX,R10
00425874 MOV DL,AL
00425876 SHR RAX,0x4
0042587a MOV R10,R8
0042587d SHR R8,0x4
00425881 MOV qword ptr [RBP + 0x18],R9
00425885 MOV R9,qword ptr [RSI + -0x30]
00425889 SHL DL,0x4
0042588c MOV qword ptr [RBP + -0x68],RBX
00425890 MOV RBX,qword ptr [RSI + -0x28]
00425894 SHL R10,0x3c
00425898 MOV byte ptr [RSP + 0x4],DL
0042589c OR RAX,R10
0042589f MOV DL,BL
004258a1 SHR RBX,0x4
004258a5 MOV R10,R9
004258a8 SHR R9,0x4
004258ac MOV qword ptr [RBP + 0x20],R8
004258b0 MOV R8,qword ptr [RSI + -0x20]
004258b4 SHL DL,0x4
004258b7 MOV qword ptr [RBP + -0x60],RAX
004258bb MOV RAX,qword ptr [RSI + -0x18]
004258bf SHL R10,0x3c
004258c3 MOV byte ptr [RSP + 0x5],DL
004258c7 OR RBX,R10
004258ca MOV DL,AL
004258cc SHR RAX,0x4
004258d0 MOV R10,R8
004258d3 SHR R8,0x4
004258d7 MOV qword ptr [RBP + 0x28],R9
004258db MOV R9,qword ptr [RSI + -0x10]
004258df SHL DL,0x4
004258e2 MOV qword ptr [RBP + -0x58],RBX
004258e6 MOV RBX,qword ptr [RSI + -0x8]
004258ea SHL R10,0x3c
004258ee MOV byte ptr [RSP + 0x6],DL
004258f2 OR RAX,R10
004258f5 MOV DL,BL
004258f7 SHR RBX,0x4
004258fb MOV R10,R9
004258fe SHR R9,0x4
00425902 MOV qword ptr [RBP + 0x30],R8
00425906 MOV R8,qword ptr [RSI]
00425909 SHL DL,0x4
0042590c MOV qword ptr [RBP + -0x50],RAX
00425910 MOV RAX,qword ptr [RSI + 0x8]
00425914 SHL R10,0x3c
00425918 MOV byte ptr [RSP + 0x7],DL
0042591c OR RBX,R10
0042591f MOV DL,AL
00425921 SHR RAX,0x4
00425925 MOV R10,R8
00425928 SHR R8,0x4
0042592c MOV qword ptr [RBP + 0x38],R9
00425930 MOV R9,qword ptr [RSI + 0x10]
00425934 SHL DL,0x4
00425937 MOV qword ptr [RBP + -0x48],RBX
0042593b MOV RBX,qword ptr [RSI + 0x18]
0042593f SHL R10,0x3c
00425943 MOV byte ptr [RSP + 0x8],DL
00425947 OR RAX,R10
0042594a MOV DL,BL
0042594c SHR RBX,0x4
00425950 MOV R10,R9
00425953 SHR R9,0x4
00425957 MOV qword ptr [RBP + 0x40],R8
0042595b MOV R8,qword ptr [RSI + 0x20]
0042595f SHL DL,0x4
00425962 MOV qword ptr [RBP + -0x40],RAX
00425966 MOV RAX,qword ptr [RSI + 0x28]
0042596a SHL R10,0x3c
0042596e MOV byte ptr [RSP + 0x9],DL
00425972 OR RBX,R10
00425975 MOV DL,AL
00425977 SHR RAX,0x4
0042597b MOV R10,R8
0042597e SHR R8,0x4
00425982 MOV qword ptr [RBP + 0x48],R9
00425986 MOV R9,qword ptr [RSI + 0x30]
0042598a SHL DL,0x4
0042598d MOV qword ptr [RBP + -0x38],RBX
00425991 MOV RBX,qword ptr [RSI + 0x38]
00425995 SHL R10,0x3c
00425999 MOV byte ptr [RSP + 0xa],DL
0042599d OR RAX,R10
004259a0 MOV DL,BL
004259a2 SHR RBX,0x4
004259a6 MOV R10,R9
004259a9 SHR R9,0x4
004259ad MOV qword ptr [RBP + 0x50],R8
004259b1 MOV R8,qword ptr [RSI + 0x40]
004259b5 SHL DL,0x4
004259b8 MOV qword ptr [RBP + -0x30],RAX
004259bc MOV RAX,qword ptr [RSI + 0x48]
004259c0 SHL R10,0x3c
004259c4 MOV byte ptr [RSP + 0xb],DL
004259c8 OR RBX,R10
004259cb MOV DL,AL
004259cd SHR RAX,0x4
004259d1 MOV R10,R8
004259d4 SHR R8,0x4
004259d8 MOV qword ptr [RBP + 0x58],R9
004259dc MOV R9,qword ptr [RSI + 0x50]
004259e0 SHL DL,0x4
004259e3 MOV qword ptr [RBP + -0x28],RBX
004259e7 MOV RBX,qword ptr [RSI + 0x58]
004259eb SHL R10,0x3c
004259ef MOV byte ptr [RSP + 0xc],DL
004259f3 OR RAX,R10
004259f6 MOV DL,BL
004259f8 SHR RBX,0x4
004259fc MOV R10,R9
004259ff SHR R9,0x4
00425a03 MOV qword ptr [RBP + 0x60],R8
00425a07 MOV R8,qword ptr [RSI + 0x60]
00425a0b SHL DL,0x4
00425a0e MOV qword ptr [RBP + -0x20],RAX
00425a12 MOV RAX,qword ptr [RSI + 0x68]
00425a16 SHL R10,0x3c
00425a1a MOV byte ptr [RSP + 0xd],DL
00425a1e OR RBX,R10
00425a21 MOV DL,AL
00425a23 SHR RAX,0x4
00425a27 MOV R10,R8
00425a2a SHR R8,0x4
00425a2e MOV qword ptr [RBP + 0x68],R9
00425a32 MOV R9,qword ptr [RSI + 0x70]
00425a36 SHL DL,0x4
00425a39 MOV qword ptr [RBP + -0x18],RBX
00425a3d MOV RBX,qword ptr [RSI + 0x78]
00425a41 SHL R10,0x3c
00425a45 MOV byte ptr [RSP + 0xe],DL
00425a49 OR RAX,R10
00425a4c MOV DL,BL
00425a4e SHR RBX,0x4
00425a52 MOV R10,R9
00425a55 SHR R9,0x4
00425a59 MOV qword ptr [RBP + 0x70],R8
00425a5d SHL DL,0x4
00425a60 MOV qword ptr [RBP + -0x10],RAX
00425a64 SHL R10,0x3c
00425a68 MOV byte ptr [RSP + 0xf],DL
00425a6c OR RBX,R10
00425a6f MOV qword ptr [RBP + 0x78],R9
00425a73 MOV qword ptr [RBP + -0x8],RBX
00425a77 ADD RSI,-0x80
00425a7b MOV R8,qword ptr [RDI + 0x8]
00425a7f MOV R9,qword ptr [RDI]
00425a82 ADD R15,R14
00425a85 LEA R11,[0x427280]
00425a8c JMP 0x00425a90
00425a90 XOR R9,qword ptr [R14]
00425a93 MOV RDX,qword ptr [R14 + 0x8]
00425a97 LEA R14,[R14 + 0x10]
00425a9b XOR RDX,R8
00425a9e MOV qword ptr [RDI],R9
00425aa1 MOV qword ptr [RDI + 0x8],RDX
00425aa5 SHR RDX,0x20
00425aa9 XOR RAX,RAX
00425aac ROL EDX,0x8
00425aaf MOV AL,DL
00425ab1 MOVZX EBX,DL
00425ab4 SHL AL,0x4
00425ab7 SHR EBX,0x4
00425aba ROL EDX,0x8
00425abd MOV R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425ac2 MOV R9,qword ptr [RSI + RAX*0x1]
00425ac6 MOV AL,DL
00425ac8 MOVZX ECX,DL
00425acb SHL AL,0x4
00425ace MOVZX R12,byte ptr [RSP + RBX*0x1]
00425ad3 SHR ECX,0x4
00425ad6 XOR R12,R8
00425ad9 MOV R10,R9
00425adc SHR R8,0x8
00425ae0 MOVZX R12,R12B
00425ae4 SHR R9,0x8
00425ae8 XOR R8,qword ptr [RBP + RBX*0x8 + -0x80]
00425aed SHL R10,0x38
00425af1 XOR R9,qword ptr [RBP + RBX*0x8]
00425af6 ROL EDX,0x8
00425af9 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425afe XOR R9,qword ptr [RSI + RAX*0x1]
00425b02 MOV AL,DL
00425b04 XOR R8,R10
00425b07 MOVZX R12,word ptr [R11 + R12*0x2]
00425b0c MOVZX EBX,DL
00425b0f SHL AL,0x4
00425b12 MOVZX R13,byte ptr [RSP + RCX*0x1]
00425b17 SHR EBX,0x4
00425b1a SHL R12,0x30
00425b1e XOR R13,R8
00425b21 MOV R10,R9
00425b24 XOR R9,R12
00425b27 SHR R8,0x8
00425b2b MOVZX R13,R13B
00425b2f SHR R9,0x8
00425b33 XOR R8,qword ptr [RBP + RCX*0x8 + -0x80]
00425b38 SHL R10,0x38
00425b3c XOR R9,qword ptr [RBP + RCX*0x8]
00425b41 ROL EDX,0x8
00425b44 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425b49 XOR R9,qword ptr [RSI + RAX*0x1]
00425b4d MOV AL,DL
00425b4f XOR R8,R10
00425b52 MOVZX R13,word ptr [R11 + R13*0x2]
00425b57 MOVZX ECX,DL
00425b5a SHL AL,0x4
00425b5d MOVZX R12,byte ptr [RSP + RBX*0x1]
00425b62 SHR ECX,0x4
00425b65 SHL R13,0x30
00425b69 XOR R12,R8
00425b6c MOV R10,R9
00425b6f XOR R9,R13
00425b72 SHR R8,0x8
00425b76 MOVZX R12,R12B
00425b7a MOV EDX,dword ptr [RDI + 0x8]
00425b7d SHR R9,0x8
00425b81 XOR R8,qword ptr [RBP + RBX*0x8 + -0x80]
00425b86 SHL R10,0x38
00425b8a XOR R9,qword ptr [RBP + RBX*0x8]
00425b8f ROL EDX,0x8
00425b92 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425b97 XOR R9,qword ptr [RSI + RAX*0x1]
00425b9b MOV AL,DL
00425b9d XOR R8,R10
00425ba0 MOVZX R12,word ptr [R11 + R12*0x2]
00425ba5 MOVZX EBX,DL
00425ba8 SHL AL,0x4
00425bab MOVZX R13,byte ptr [RSP + RCX*0x1]
00425bb0 SHR EBX,0x4
00425bb3 SHL R12,0x30
00425bb7 XOR R13,R8
00425bba MOV R10,R9
00425bbd XOR R9,R12
00425bc0 SHR R8,0x8
00425bc4 MOVZX R13,R13B
00425bc8 SHR R9,0x8
00425bcc XOR R8,qword ptr [RBP + RCX*0x8 + -0x80]
00425bd1 SHL R10,0x38
00425bd5 XOR R9,qword ptr [RBP + RCX*0x8]
00425bda ROL EDX,0x8
00425bdd XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425be2 XOR R9,qword ptr [RSI + RAX*0x1]
00425be6 MOV AL,DL
00425be8 XOR R8,R10
00425beb MOVZX R13,word ptr [R11 + R13*0x2]
00425bf0 MOVZX ECX,DL
00425bf3 SHL AL,0x4
00425bf6 MOVZX R12,byte ptr [RSP + RBX*0x1]
00425bfb SHR ECX,0x4
00425bfe SHL R13,0x30
00425c02 XOR R12,R8
00425c05 MOV R10,R9
00425c08 XOR R9,R13
00425c0b SHR R8,0x8
00425c0f MOVZX R12,R12B
00425c13 SHR R9,0x8
00425c17 XOR R8,qword ptr [RBP + RBX*0x8 + -0x80]
00425c1c SHL R10,0x38
00425c20 XOR R9,qword ptr [RBP + RBX*0x8]
00425c25 ROL EDX,0x8
00425c28 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425c2d XOR R9,qword ptr [RSI + RAX*0x1]
00425c31 MOV AL,DL
00425c33 XOR R8,R10
00425c36 MOVZX R12,word ptr [R11 + R12*0x2]
00425c3b MOVZX EBX,DL
00425c3e SHL AL,0x4
00425c41 MOVZX R13,byte ptr [RSP + RCX*0x1]
00425c46 SHR EBX,0x4
00425c49 SHL R12,0x30
00425c4d XOR R13,R8
00425c50 MOV R10,R9
00425c53 XOR R9,R12
00425c56 SHR R8,0x8
00425c5a MOVZX R13,R13B
00425c5e SHR R9,0x8
00425c62 XOR R8,qword ptr [RBP + RCX*0x8 + -0x80]
00425c67 SHL R10,0x38
00425c6b XOR R9,qword ptr [RBP + RCX*0x8]
00425c70 ROL EDX,0x8
00425c73 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425c78 XOR R9,qword ptr [RSI + RAX*0x1]
00425c7c MOV AL,DL
00425c7e XOR R8,R10
00425c81 MOVZX R13,word ptr [R11 + R13*0x2]
00425c86 MOVZX ECX,DL
00425c89 SHL AL,0x4
00425c8c MOVZX R12,byte ptr [RSP + RBX*0x1]
00425c91 SHR ECX,0x4
00425c94 SHL R13,0x30
00425c98 XOR R12,R8
00425c9b MOV R10,R9
00425c9e XOR R9,R13
00425ca1 SHR R8,0x8
00425ca5 MOVZX R12,R12B
00425ca9 MOV EDX,dword ptr [RDI + 0x4]
00425cac SHR R9,0x8
00425cb0 XOR R8,qword ptr [RBP + RBX*0x8 + -0x80]
00425cb5 SHL R10,0x38
00425cb9 XOR R9,qword ptr [RBP + RBX*0x8]
00425cbe ROL EDX,0x8
00425cc1 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425cc6 XOR R9,qword ptr [RSI + RAX*0x1]
00425cca MOV AL,DL
00425ccc XOR R8,R10
00425ccf MOVZX R12,word ptr [R11 + R12*0x2]
00425cd4 MOVZX EBX,DL
00425cd7 SHL AL,0x4
00425cda MOVZX R13,byte ptr [RSP + RCX*0x1]
00425cdf SHR EBX,0x4
00425ce2 SHL R12,0x30
00425ce6 XOR R13,R8
00425ce9 MOV R10,R9
00425cec XOR R9,R12
00425cef SHR R8,0x8
00425cf3 MOVZX R13,R13B
00425cf7 SHR R9,0x8
00425cfb XOR R8,qword ptr [RBP + RCX*0x8 + -0x80]
00425d00 SHL R10,0x38
00425d04 XOR R9,qword ptr [RBP + RCX*0x8]
00425d09 ROL EDX,0x8
00425d0c XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425d11 XOR R9,qword ptr [RSI + RAX*0x1]
00425d15 MOV AL,DL
00425d17 XOR R8,R10
00425d1a MOVZX R13,word ptr [R11 + R13*0x2]
00425d1f MOVZX ECX,DL
00425d22 SHL AL,0x4
00425d25 MOVZX R12,byte ptr [RSP + RBX*0x1]
00425d2a SHR ECX,0x4
00425d2d SHL R13,0x30
00425d31 XOR R12,R8
00425d34 MOV R10,R9
00425d37 XOR R9,R13
00425d3a SHR R8,0x8
00425d3e MOVZX R12,R12B
00425d42 SHR R9,0x8
00425d46 XOR R8,qword ptr [RBP + RBX*0x8 + -0x80]
00425d4b SHL R10,0x38
00425d4f XOR R9,qword ptr [RBP + RBX*0x8]
00425d54 ROL EDX,0x8
00425d57 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425d5c XOR R9,qword ptr [RSI + RAX*0x1]
00425d60 MOV AL,DL
00425d62 XOR R8,R10
00425d65 MOVZX R12,word ptr [R11 + R12*0x2]
00425d6a MOVZX EBX,DL
00425d6d SHL AL,0x4
00425d70 MOVZX R13,byte ptr [RSP + RCX*0x1]
00425d75 SHR EBX,0x4
00425d78 SHL R12,0x30
00425d7c XOR R13,R8
00425d7f MOV R10,R9
00425d82 XOR R9,R12
00425d85 SHR R8,0x8
00425d89 MOVZX R13,R13B
00425d8d SHR R9,0x8
00425d91 XOR R8,qword ptr [RBP + RCX*0x8 + -0x80]
00425d96 SHL R10,0x38
00425d9a XOR R9,qword ptr [RBP + RCX*0x8]
00425d9f ROL EDX,0x8
00425da2 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425da7 XOR R9,qword ptr [RSI + RAX*0x1]
00425dab MOV AL,DL
00425dad XOR R8,R10
00425db0 MOVZX R13,word ptr [R11 + R13*0x2]
00425db5 MOVZX ECX,DL
00425db8 SHL AL,0x4
00425dbb MOVZX R12,byte ptr [RSP + RBX*0x1]
00425dc0 SHR ECX,0x4
00425dc3 SHL R13,0x30
00425dc7 XOR R12,R8
00425dca MOV R10,R9
00425dcd XOR R9,R13
00425dd0 SHR R8,0x8
00425dd4 MOVZX R12,R12B
00425dd8 MOV EDX,dword ptr [RDI]
00425dda SHR R9,0x8
00425dde XOR R8,qword ptr [RBP + RBX*0x8 + -0x80]
00425de3 SHL R10,0x38
00425de7 XOR R9,qword ptr [RBP + RBX*0x8]
00425dec ROL EDX,0x8
00425def XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425df4 XOR R9,qword ptr [RSI + RAX*0x1]
00425df8 MOV AL,DL
00425dfa XOR R8,R10
00425dfd MOVZX R12,word ptr [R11 + R12*0x2]
00425e02 MOVZX EBX,DL
00425e05 SHL AL,0x4
00425e08 MOVZX R13,byte ptr [RSP + RCX*0x1]
00425e0d SHR EBX,0x4
00425e10 SHL R12,0x30
00425e14 XOR R13,R8
00425e17 MOV R10,R9
00425e1a XOR R9,R12
00425e1d SHR R8,0x8
00425e21 MOVZX R13,R13B
00425e25 SHR R9,0x8
00425e29 XOR R8,qword ptr [RBP + RCX*0x8 + -0x80]
00425e2e SHL R10,0x38
00425e32 XOR R9,qword ptr [RBP + RCX*0x8]
00425e37 ROL EDX,0x8
00425e3a XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425e3f XOR R9,qword ptr [RSI + RAX*0x1]
00425e43 MOV AL,DL
00425e45 XOR R8,R10
00425e48 MOVZX R13,word ptr [R11 + R13*0x2]
00425e4d MOVZX ECX,DL
00425e50 SHL AL,0x4
00425e53 MOVZX R12,byte ptr [RSP + RBX*0x1]
00425e58 SHR ECX,0x4
00425e5b SHL R13,0x30
00425e5f XOR R12,R8
00425e62 MOV R10,R9
00425e65 XOR R9,R13
00425e68 SHR R8,0x8
00425e6c MOVZX R12,R12B
00425e70 SHR R9,0x8
00425e74 XOR R8,qword ptr [RBP + RBX*0x8 + -0x80]
00425e79 SHL R10,0x38
00425e7d XOR R9,qword ptr [RBP + RBX*0x8]
00425e82 ROL EDX,0x8
00425e85 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425e8a XOR R9,qword ptr [RSI + RAX*0x1]
00425e8e MOV AL,DL
00425e90 XOR R8,R10
00425e93 MOVZX R12,word ptr [R11 + R12*0x2]
00425e98 MOVZX EBX,DL
00425e9b SHL AL,0x4
00425e9e MOVZX R13,byte ptr [RSP + RCX*0x1]
00425ea3 SHR EBX,0x4
00425ea6 SHL R12,0x30
00425eaa XOR R13,R8
00425ead MOV R10,R9
00425eb0 XOR R9,R12
00425eb3 SHR R8,0x8
00425eb7 MOVZX R13,R13B
00425ebb SHR R9,0x8
00425ebf XOR R8,qword ptr [RBP + RCX*0x8 + -0x80]
00425ec4 SHL R10,0x38
00425ec8 XOR R9,qword ptr [RBP + RCX*0x8]
00425ecd ROL EDX,0x8
00425ed0 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425ed5 XOR R9,qword ptr [RSI + RAX*0x1]
00425ed9 MOV AL,DL
00425edb XOR R8,R10
00425ede MOVZX R13,word ptr [R11 + R13*0x2]
00425ee3 MOVZX ECX,DL
00425ee6 SHL AL,0x4
00425ee9 MOVZX R12,byte ptr [RSP + RBX*0x1]
00425eee AND ECX,0xf0
00425ef4 SHL R13,0x30
00425ef8 XOR R12,R8
00425efb MOV R10,R9
00425efe XOR R9,R13
00425f01 SHR R8,0x8
00425f05 MOVZX R12,R12B
00425f09 MOV EDX,dword ptr [RDI + -0x4]
00425f0c SHR R9,0x8
00425f10 XOR R8,qword ptr [RBP + RBX*0x8 + -0x80]
00425f15 SHL R10,0x38
00425f19 XOR R9,qword ptr [RBP + RBX*0x8]
00425f1e MOVZX R12,word ptr [R11 + R12*0x2]
00425f23 XOR R8,qword ptr [RSI + RAX*0x1 + 0x8]
00425f28 XOR R9,qword ptr [RSI + RAX*0x1]
00425f2c SHL R12,0x30
00425f30 XOR R8,R10
00425f33 XOR R9,R12
00425f36 MOVZX R13,R8B
00425f3a SHR R8,0x4
00425f3e MOV R10,R9
00425f41 SHL R13B,0x4
00425f45 SHR R9,0x4
00425f49 XOR R8,qword ptr [RSI + RCX*0x1 + 0x8]
00425f4e MOVZX R13,word ptr [R11 + R13*0x2]
00425f53 SHL R10,0x3c
00425f57 XOR R9,qword ptr [RSI + RCX*0x1]
00425f5b XOR R8,R10
00425f5e SHL R13,0x30
00425f62 BSWAP R8
00425f65 XOR R9,R13
00425f68 BSWAP R9
00425f6b CMP R14,R15
00425f6e JC 0x00425a90
00425f74 MOV qword ptr [RDI + 0x8],R8
00425f78 MOV qword ptr [RDI],R9
00425f7b LEA RSI,[RSP + 0x148]
00425f83 MOV R15,qword ptr [RSI + -0x30]
00425f87 MOV R14,qword ptr [RSI + -0x28]
00425f8b MOV R13,qword ptr [RSI + -0x20]
00425f8f MOV R12,qword ptr [RSI + -0x18]
00425f93 MOV RBP,qword ptr [RSI + -0x10]
00425f97 MOV RBX,qword ptr [RSI + -0x8]
00425f9b LEA RSP,[RSI]
00425f9e RET
