0044c0e0 PUSH R15
0044c0e2 PUSH R14
0044c0e4 PUSH R13
0044c0e6 PUSH R12
0044c0e8 PUSH RBP
0044c0e9 PUSH RBX
0044c0ea SUB RSP,0x1c8
0044c1d7 MOV R10,qword ptr [RSP + 0x98]
0044c1df ADD RAX,R11
0044c1e2 MOVDQU XMM0,xmmword ptr [RAX]
0044c1e6 MOVDQU XMM7,xmmword ptr [RAX + 0x70]
0044c1eb MOV RDX,qword ptr [RAX + 0x40]
0044c1ef MOV RCX,qword ptr [RAX + 0x50]
0044c1f3 MOV R9,qword ptr [RAX + 0x60]
0044c1f7 MOVDQU XMM1,xmmword ptr [RAX + 0x10]
0044c1fc MOVAPS xmmword ptr [R10],XMM0
0044c200 MOVDQU XMM2,xmmword ptr [RAX + 0x20]
0044c205 MOVDQU XMM3,xmmword ptr [RAX + 0x30]
0044c20a MOVAPS xmmword ptr [RSP],XMM7
0044c20e MOVDQU XMM4,xmmword ptr [RAX + 0x40]
0044c213 MOVDQU XMM5,xmmword ptr [RAX + 0x50]
0044c218 MOV qword ptr [RSP + 0x28],RDX
0044c21d MOVDQU XMM6,xmmword ptr [RAX + 0x60]
0044c222 MOVDQA XMM0,xmmword ptr [RSP]
0044c227 MOV qword ptr [RSP + 0x30],RCX
0044c22c MOV RBX,qword ptr [RAX]
0044c22f MOV RDI,qword ptr [RAX + 0x10]
0044c233 MOV qword ptr [RSP + 0x38],R9
0044c238 MOV RSI,qword ptr [RAX + 0x20]
0044c23c MOV R14,qword ptr [RAX + 0x30]
0044c240 MOVAPS xmmword ptr [R10 + 0x10],XMM1
0044c245 MOV RAX,R11
0044c248 MOVAPS xmmword ptr [R10 + 0x20],XMM2
0044c24d MOVAPS xmmword ptr [R10 + 0x30],XMM3
0044c252 MOVAPS xmmword ptr [R10 + 0x40],XMM4
0044c257 MOVAPS xmmword ptr [R10 + 0x50],XMM5
0044c25c MOVAPS xmmword ptr [R10 + 0x60],XMM6
0044c261 MOVAPS xmmword ptr [R10 + 0x70],XMM7
0044c266 MOVQ qword ptr [RSP + 0x40],XMM0
0044c26c ADD RAX,qword ptr [RSP + 0x68]
0044c271 MOV R11,qword ptr [RSP + 0x50]
0044c276 MOV qword ptr [RSP + 0x60],RAX
0044c27b MOV R15,qword ptr [RSP + 0x130]
0044c283 MOV R8,RAX
0044c286 MOV qword ptr [R11 + 0x40],RAX
0044c28a MOV RAX,qword ptr [RSP + 0x150]
0044c292 ADC qword ptr [RSP + 0x48],0x0
0044c298 MOV R10,qword ptr [RSP + 0x48]
0044c29d ADD R15,RAX
0044c2a0 MOV RCX,qword ptr [RSP + 0x158]
0044c2a8 MOV qword ptr [RSP + 0x10],RDI
0044c2ad MOV qword ptr [R11 + 0x48],R10
0044c2b1 MOV R11,R15
0044c2b4 MOV R15,0x510e527fade682d1
0044c2be MOV RDX,qword ptr [RSP + 0x160]
0044c2c6 ADD R11,RBX
0044c2c9 MOV R9,qword ptr [RSP + 0x148]
0044c2d1 MOV qword ptr [RSP + 0x18],RSI
0044c2d6 XOR R8,R11
0044c2d9 ADD R11,qword ptr [RSP + 0xb8]
0044c2e1 MOV qword ptr [RSP],RBX
0044c2e5 XOR R8,R15
0044c2e8 MOV RBX,qword ptr [RSP + 0x80]
0044c2f0 MOV qword ptr [RSP + 0x20],R14
0044c2f5 MOV R15,0x6a09e667f3bcc908
0044c2ff ROL R8,0x20
0044c303 LEA R13,[R8 + R15*0x1]
0044c307 MOV R15,qword ptr [RSP + 0x138]
0044c30f XOR RAX,R13
0044c312 ADD R15,RCX
0044c315 ROR RAX,0x18
0044c319 ADD R15,RDI
0044c31c ADD R11,RAX
0044c31f XOR R10,R15
0044c322 XOR R8,R11
0044c325 ADD R15,qword ptr [RSP + 0xc8]
0044c32d MOV RDI,R10
0044c330 ROR R8,0x10
0044c334 MOV R10,-0x64fa9773d4c193e1
0044c33e XOR RDI,R10
0044c341 ADD R13,R8
0044c344 MOV R10,-0x4498517a7b3558c5
0044c34e ROL RDI,0x20
0044c352 XOR RAX,R13
0044c355 LEA RBP,[RDI + R10*0x1]
0044c359 MOV R10,qword ptr [RSP + 0x140]
0044c361 ROL RAX,0x1
0044c364 XOR RCX,RBP
0044c367 MOV qword ptr [RSP + 0x70],RAX
0044c36c MOV RAX,qword ptr [RSP + 0x168]
0044c374 ROR RCX,0x18
0044c378 ADD R10,RDX
0044c37b ADD R15,RCX
0044c37e ADD R10,RSI
0044c381 MOV RSI,qword ptr [RSP + 0x78]
0044c386 XOR RDI,R15
0044c389 ROR RDI,0x10
0044c38d XOR RSI,R10
0044c390 ADD RBP,RDI
0044c393 XOR RCX,RBP
0044c396 ROL RCX,0x1
0044c399 XOR RSI,R12
0044c39c ADD R9,RAX
0044c39f ADD R11,qword ptr [RSP + 0x28]
0044c3a4 ADD R9,R14
0044c3a7 ROL RSI,0x20
0044c3ab ADD R11,RCX
0044c3ae MOV R14,0x5be0cd19137e2179
0044c3b8 XOR RBX,R9
0044c3bb ADD R9,qword ptr [RSP + 0xe8]
0044c3c3 MOV R12,0x3c6ef372fe94f82b
0044c3cd ADD R10,qword ptr [RSP + 0xd8]
0044c3d5 XOR RBX,R14
0044c3d8 ADD R12,RSI
0044c3db MOV R14,-0x5ab00ac5a0e2c90f
0044c3e5 ROL RBX,0x20
0044c3e9 XOR RDX,R12
0044c3ec ADD R14,RBX
0044c3ef ROR RDX,0x18
0044c3f3 XOR RAX,R14
0044c3f6 ADD R10,RDX
0044c3f9 ROR RAX,0x18
0044c3fd XOR RSI,R10
0044c400 ADD R9,RAX
0044c403 ROR RSI,0x10
0044c407 XOR RBX,R9
0044c40a ADD R12,RSI
0044c40d ROR RBX,0x10
0044c411 XOR RDX,R12
0044c414 ADD R14,RBX
0044c417 XOR RBX,R11
0044c41a ROL RDX,0x1
0044c41d ROL RBX,0x20
0044c421 XOR RAX,R14
0044c424 ADD R12,RBX
0044c427 ROL RAX,0x1
0044c42a XOR RCX,R12
0044c42d ADD R11,qword ptr [RSP + 0xf8]
0044c435 ROR RCX,0x18
0044c439 ADD R11,RCX
0044c43c XOR RBX,R11
0044c43f ROR RBX,0x10
0044c443 ADD R12,RBX
0044c446 MOV qword ptr [RSP + 0x58],RBX
0044c44b MOV RBX,qword ptr [RSP + 0x30]
0044c450 XOR RCX,R12
0044c453 ADD RBX,RDX
0044c456 ROL RCX,0x1
0044c459 ADD RBX,R15
0044c45c XOR R8,RBX
0044c45f ADD RBX,qword ptr [RSP + 0x108]
0044c467 ADD R10,qword ptr [RSP + 0x38]
0044c46c ROL R8,0x20
0044c470 ADD R10,RAX
0044c473 MOV R15,qword ptr [RSP + 0x70]
0044c478 ADD R14,R8
0044c47b XOR RDI,R10
0044c47e ADD R10,qword ptr [RSP + 0x118]
0044c486 XOR RDX,R14
0044c489 ROL RDI,0x20
0044c48d ROR RDX,0x18
0044c491 ADD R13,RDI
0044c494 ADD RBX,RDX
0044c497 XOR RAX,R13
0044c49a XOR R8,RBX
0044c49d ROR RAX,0x18
0044c4a1 ROR R8,0x10
0044c4a5 ADD R10,RAX
0044c4a8 ADD R14,R8
0044c4ab XOR RDX,R14
0044c4ae ROL RDX,0x1
0044c4b1 XOR RDI,R10
0044c4b4 ADD R9,qword ptr [RSP + 0x40]
0044c4b9 ADD R11,qword ptr [RSP + 0x40]
0044c4be ADD R9,R15
0044c4c1 ROR RDI,0x10
0044c4c5 XOR RSI,R9
0044c4c8 ADD R9,qword ptr [RSP + 0x128]
0044c4d0 ADD R13,RDI
0044c4d3 ROL RSI,0x20
0044c4d7 XOR RAX,R13
0044c4da ADD RBP,RSI
0044c4dd ROL RAX,0x1
0044c4e0 XOR R15,RBP
0044c4e3 ROR R15,0x18
0044c4e7 ADD R9,R15
0044c4ea XOR RSI,R9
0044c4ed ROR RSI,0x10
0044c4f1 ADD RBP,RSI
0044c4f4 XOR R15,RBP
0044c4f7 ROL R15,0x1
0044c4fa ADD R11,R15
0044c4fd XOR R8,R11
0044c500 ADD R11,qword ptr [RSP + 0x30]
0044c505 ROL R8,0x20
0044c509 ADD R13,R8
0044c50c XOR R15,R13
0044c50f ROR R15,0x18
0044c513 ADD R11,R15
0044c516 XOR R8,R11
0044c519 ROR R8,0x10
0044c51d ADD R13,R8
0044c520 XOR R15,R13
0044c523 ROL R15,0x1
0044c526 ADD RBX,qword ptr [RSP + 0x18]
0044c52b ADD R10,qword ptr [RSP + 0xf8]
0044c533 ADD RBX,RCX
0044c536 ADD R10,RDX
0044c539 MOV qword ptr [RSP + 0x70],R15
0044c53e ADD R9,qword ptr [RSP + 0x118]
0044c546 XOR RDI,RBX
0044c549 XOR RSI,R10
0044c54c ADD RBX,qword ptr [RSP + 0x28]
0044c551 MOV R15,qword ptr [RSP + 0x58]
0044c556 ROL RDI,0x20
0044c55a ROL RSI,0x20
0044c55e ADD R10,qword ptr [RSP + 0x128]
0044c566 ADD R9,RAX
0044c569 ADD RBP,RDI
0044c56c ADD R12,RSI
0044c56f XOR R15,R9
0044c572 XOR RCX,RBP
0044c575 XOR RDX,R12
0044c578 ROR RCX,0x18
0044c57c ROR RDX,0x18
0044c580 ADD RBX,RCX
0044c583 ADD R10,RDX
0044c586 XOR RDI,RBX
0044c589 XOR RSI,R10
0044c58c ROR RDI,0x10
0044c590 ROR RSI,0x10
0044c594 ADD RBP,RDI
0044c597 ADD R12,RSI
0044c59a XOR RCX,RBP
0044c59d XOR RDX,R12
0044c5a0 ROL RCX,0x1
0044c5a3 ROL RDX,0x1
0044c5a6 ROL R15,0x20
0044c5aa ADD R9,qword ptr [RSP + 0x20]
0044c5af ADD R11,qword ptr [RSP + 0xb8]
0044c5b7 ADD RBX,RDX
0044c5ba ADD R14,R15
0044c5bd ADD R11,RCX
0044c5c0 ADD RBX,qword ptr [RSP]
0044c5c4 XOR RAX,R14
0044c5c7 XOR R8,RBX
0044c5ca ROR RAX,0x18
0044c5ce ROL R8,0x20
0044c5d2 ADD R9,RAX
0044c5d5 XOR R15,R9
0044c5d8 ROR R15,0x10
0044c5dc ADD R14,R15
0044c5df XOR R15,R11
0044c5e2 ADD R11,qword ptr [RSP + 0x38]
0044c5e7 ROL R15,0x20
0044c5eb XOR RAX,R14
0044c5ee ADD R14,R8
0044c5f1 ADD R12,R15
0044c5f4 XOR RDX,R14
0044c5f7 ROL RAX,0x1
0044c5fa XOR RCX,R12
0044c5fd ROR RDX,0x18
0044c601 ROR RCX,0x18
0044c605 ADD R11,RCX
0044c608 XOR R15,R11
0044c60b ROR R15,0x10
0044c60f ADD R12,R15
0044c612 XOR RCX,R12
0044c615 ROL RCX,0x1
0044c618 ADD RBX,qword ptr [RSP + 0x10]
0044c61d ADD R10,qword ptr [RSP + 0x108]
0044c625 ADD RBX,RDX
0044c628 ADD R10,RAX
0044c62b ADD R9,qword ptr [RSP + 0xd8]
0044c633 XOR R8,RBX
0044c636 XOR RDI,R10
0044c639 ADD R10,qword ptr [RSP + 0xe8]
0044c641 ROR R8,0x10
0044c645 ROL RDI,0x20
0044c649 ADD R14,R8
0044c64c ADD R13,RDI
0044c64f XOR RDX,R14
0044c652 MOV qword ptr [RSP + 0x58],R14
0044c657 MOV R14,qword ptr [RSP + 0x70]
0044c65c XOR RAX,R13
0044c65f ROR RAX,0x18
0044c663 ROL RDX,0x1
0044c666 ADD R9,R14
0044c669 ADD R10,RAX
0044c66c XOR RSI,R9
0044c66f XOR RDI,R10
0044c672 ADD R9,qword ptr [RSP + 0xc8]
0044c67a ROL RSI,0x20
0044c67e ROR RDI,0x10
0044c682 ADD RBP,RSI
0044c685 ADD R13,RDI
0044c688 XOR R14,RBP
0044c68b XOR RAX,R13
0044c68e ROR R14,0x18
0044c692 ROL RAX,0x1
0044c695 ADD R9,R14
0044c698 XOR RSI,R9
0044c69b ROR RSI,0x10
0044c69f ADD RBP,RSI
0044c6a2 ADD R11,qword ptr [RSP + 0x108]
0044c6aa ADD RBX,qword ptr [RSP + 0x38]
0044c6af XOR R14,RBP
0044c6b2 ADD RBX,RCX
0044c6b5 ADD R10,qword ptr [RSP + 0xd8]
0044c6bd ROL R14,0x1
0044c6c0 XOR RDI,RBX
0044c6c3 ADD RBX,qword ptr [RSP]
0044c6c7 ADD R11,R14
0044c6ca ROL RDI,0x20
0044c6ce XOR R8,R11
0044c6d1 ADD RBP,RDI
0044c6d4 ADD R11,qword ptr [RSP + 0x28]
0044c6d9 ROL R8,0x20
0044c6dd XOR RCX,RBP
0044c6e0 ADD R13,R8
0044c6e3 ROR RCX,0x18
0044c6e7 XOR R14,R13
0044c6ea ADD RBX,RCX
0044c6ed ROR R14,0x18
0044c6f1 XOR RDI,RBX
0044c6f4 ADD R11,R14
0044c6f7 ROR RDI,0x10
0044c6fb XOR R8,R11
0044c6fe ADD RBP,RDI
0044c701 ROR R8,0x10
0044c705 XOR RCX,RBP
0044c708 ADD R13,R8
0044c70b ROL RCX,0x1
0044c70e XOR R14,R13
0044c711 ROL R14,0x1
0044c714 ADD R10,RDX
0044c717 XOR RSI,R10
0044c71a MOV qword ptr [RSP + 0x70],R14
0044c71f ADD R10,qword ptr [RSP + 0x10]
0044c724 MOV R14,qword ptr [RSP + 0x58]
0044c729 ROL RSI,0x20
0044c72d ADD R11,qword ptr [RSP + 0x30]
0044c732 ADD R9,qword ptr [RSP + 0x128]
0044c73a ADD R12,RSI
0044c73d ADD R11,RCX
0044c740 ADD R9,RAX
0044c743 XOR RDX,R12
0044c746 XOR R15,R9
0044c749 ADD R9,qword ptr [RSP + 0x118]
0044c751 ROR RDX,0x18
0044c755 ROL R15,0x20
0044c759 ADD R10,RDX
0044c75c ADD R14,R15
0044c75f XOR RSI,R10
0044c762 XOR RAX,R14
0044c765 ROR RSI,0x10
0044c769 ROR RAX,0x18
0044c76d ADD R12,RSI
0044c770 ADD R9,RAX
0044c773 XOR RDX,R12
0044c776 XOR R15,R9
0044c779 ROL RDX,0x1
0044c77c ROR R15,0x10
0044c780 ADD R14,R15
0044c783 XOR R15,R11
0044c786 ROL R15,0x20
0044c78a XOR RAX,R14
0044c78d ADD R12,R15
0044c790 ROL RAX,0x1
0044c793 XOR RCX,R12
0044c796 ADD RBX,qword ptr [RSP + 0xc8]
0044c79e ADD R10,qword ptr [RSP + 0xe8]
0044c7a6 ADD RBX,RDX
0044c7a9 ADD R10,RAX
0044c7ac ROR RCX,0x18
0044c7b0 ADD R11,qword ptr [RSP + 0x40]
0044c7b5 XOR R8,RBX
0044c7b8 XOR RDI,R10
0044c7bb ADD RBX,qword ptr [RSP + 0x20]
0044c7c0 ADD R11,RCX
0044c7c3 ROL R8,0x20
0044c7c7 ROL RDI,0x20
0044c7cb XOR R15,R11
0044c7ce ADD R10,qword ptr [RSP + 0xb8]
0044c7d6 ADD R14,R8
0044c7d9 ADD R13,RDI
0044c7dc ROR R15,0x10
0044c7e0 XOR RDX,R14
0044c7e3 XOR RAX,R13
0044c7e6 ADD R12,R15
0044c7e9 ROR RDX,0x18
0044c7ed ROR RAX,0x18
0044c7f1 XOR RCX,R12
0044c7f4 ADD RBX,RDX
0044c7f7 ADD R10,RAX
0044c7fa ROL RCX,0x1
0044c7fd XOR R8,RBX
0044c800 ROR R8,0x10
0044c804 ADD R14,R8
0044c807 MOV qword ptr [RSP + 0x58],R14
0044c80c XOR RDX,R14
0044c80f MOV R14,qword ptr [RSP + 0x70]
0044c814 ROL RDX,0x1
0044c817 XOR RDI,R10
0044c81a ADD R9,qword ptr [RSP + 0xf8]
0044c822 ADD R11,qword ptr [RSP + 0xe8]
0044c82a ADD R9,R14
0044c82d ROR RDI,0x10
0044c831 XOR RSI,R9
0044c834 ADD R9,qword ptr [RSP + 0x18]
0044c839 ADD R13,RDI
0044c83c ROL RSI,0x20
0044c840 XOR RAX,R13
0044c843 ADD RBP,RSI
0044c846 ROL RAX,0x1
0044c849 XOR R14,RBP
0044c84c ROR R14,0x18
0044c850 ADD R9,R14
0044c853 XOR RSI,R9
0044c856 ROR RSI,0x10
0044c85a ADD RBP,RSI
0044c85d XOR R14,RBP
0044c860 ROL R14,0x1
0044c863 ADD R11,R14
0044c866 XOR R8,R11
0044c869 ADD R11,qword ptr [RSP + 0xf8]
0044c871 ROL R8,0x20
0044c875 ADD R13,R8
0044c878 XOR R14,R13
0044c87b ROR R14,0x18
0044c87f ADD R11,R14
0044c882 XOR R8,R11
0044c885 ROR R8,0x10
0044c889 ADD R13,R8
0044c88c XOR R14,R13
0044c88f ROL R14,0x1
0044c892 ADD RBX,qword ptr [RSP + 0xc8]
0044c89a ADD R10,qword ptr [RSP + 0x118]
0044c8a2 ADD RBX,RCX
0044c8a5 ADD R10,RDX
0044c8a8 MOV qword ptr [RSP + 0x70],R14
0044c8ad ADD R9,qword ptr [RSP + 0x108]
0044c8b5 XOR RDI,RBX
0044c8b8 XOR RSI,R10
0044c8bb ADD R10,qword ptr [RSP + 0x38]
0044c8c0 ADD R9,RAX
0044c8c3 ROL RDI,0x20
0044c8c7 ROL RSI,0x20
0044c8cb MOV R14,qword ptr [RSP + 0x58]
0044c8d0 XOR R15,R9
0044c8d3 ADD RBP,RDI
0044c8d6 ADD R12,RSI
0044c8d9 ADD RBX,qword ptr [RSP + 0xb8]
0044c8e1 XOR RCX,RBP
0044c8e4 XOR RDX,R12
0044c8e7 ROR RCX,0x18
0044c8eb ROR RDX,0x18
0044c8ef ADD RBX,RCX
0044c8f2 ADD R10,RDX
0044c8f5 XOR RDI,RBX
0044c8f8 XOR RSI,R10
0044c8fb ROR RDI,0x10
0044c8ff ROR RSI,0x10
0044c903 ADD RBP,RDI
0044c906 ADD R12,RSI
0044c909 XOR RCX,RBP
0044c90c XOR RDX,R12
0044c90f ROL RCX,0x1
0044c912 ROL RDX,0x1
0044c915 ROL R15,0x20
0044c919 ADD R9,qword ptr [RSP + 0x40]
0044c91e ADD R11,qword ptr [RSP + 0x10]
0044c923 ADD R14,R15
0044c926 ADD R11,RCX
0044c929 ADD RBX,qword ptr [RSP + 0xd8]
0044c931 XOR RAX,R14
0044c934 ADD RBX,RDX
0044c937 ROR RAX,0x18
0044c93b XOR R8,RBX
0044c93e ADD R9,RAX
0044c941 ROL R8,0x20
0044c945 XOR R15,R9
0044c948 ROR R15,0x10
0044c94c ADD R14,R15
0044c94f XOR R15,R11
0044c952 ADD R11,qword ptr [RSP + 0x20]
0044c957 ROL R15,0x20
0044c95b XOR RAX,R14
0044c95e ADD R14,R8
0044c961 ADD R12,R15
0044c964 XOR RDX,R14
0044c967 ROL RAX,0x1
0044c96a XOR RCX,R12
0044c96d ROR RDX,0x18
0044c971 ROR RCX,0x18
0044c975 ADD R11,RCX
0044c978 XOR R15,R11
0044c97b ROR R15,0x10
0044c97f ADD R12,R15
0044c982 XOR RCX,R12
0044c985 ROL RCX,0x1
0044c988 ADD RBX,qword ptr [RSP + 0x30]
0044c98d ADD R10,qword ptr [RSP + 0x18]
0044c992 ADD RBX,RDX
0044c995 ADD R10,RAX
0044c998 ADD R9,qword ptr [RSP + 0x128]
0044c9a0 XOR R8,RBX
0044c9a3 XOR RDI,R10
0044c9a6 ADD R10,qword ptr [RSP]
0044c9aa ROR R8,0x10
0044c9ae ROL RDI,0x20
0044c9b2 ADD R14,R8
0044c9b5 ADD R13,RDI
0044c9b8 XOR RDX,R14
0044c9bb MOV qword ptr [RSP + 0x58],R14
0044c9c0 MOV R14,qword ptr [RSP + 0x70]
0044c9c5 XOR RAX,R13
0044c9c8 ROR RAX,0x18
0044c9cc ROL RDX,0x1
0044c9cf ADD R9,R14
0044c9d2 ADD R10,RAX
0044c9d5 XOR RSI,R9
0044c9d8 XOR RDI,R10
0044c9db ADD R9,qword ptr [RSP + 0x28]
0044c9e0 ROL RSI,0x20
0044c9e4 ROR RDI,0x10
0044c9e8 ADD RBP,RSI
0044c9eb ADD R13,RDI
0044c9ee XOR R14,RBP
0044c9f1 XOR RAX,R13
0044c9f4 ROR R14,0x18
0044c9f8 ROL RAX,0x1
0044c9fb ADD R9,R14
0044c9fe XOR RSI,R9
0044ca01 ROR RSI,0x10
0044ca05 ADD RBP,RSI
0044ca08 ADD R11,qword ptr [RSP + 0xf8]
0044ca10 ADD RBX,qword ptr [RSP + 0xd8]
0044ca18 XOR R14,RBP
0044ca1b ADD RBX,RCX
0044ca1e ADD R10,qword ptr [RSP + 0x10]
0044ca23 ROL R14,0x1
0044ca26 XOR RDI,RBX
0044ca29 ADD RBX,qword ptr [RSP + 0xe8]
0044ca31 ADD R11,R14
0044ca34 ROL RDI,0x20
0044ca38 XOR R8,R11
0044ca3b ADD RBP,RDI
0044ca3e ADD R11,qword ptr [RSP]
0044ca42 ROL R8,0x20
0044ca46 XOR RCX,RBP
0044ca49 ADD R13,R8
0044ca4c ROR RCX,0x18
0044ca50 XOR R14,R13
0044ca53 ADD RBX,RCX
0044ca56 ROR R14,0x18
0044ca5a XOR RDI,RBX
0044ca5d ADD R11,R14
0044ca60 ROR RDI,0x10
0044ca64 XOR R8,R11
0044ca67 ADD RBP,RDI
0044ca6a ROR R8,0x10
0044ca6e XOR RCX,RBP
0044ca71 ADD R13,R8
0044ca74 ROL RCX,0x1
0044ca77 XOR R14,R13
0044ca7a ROL R14,0x1
0044ca7d ADD R10,RDX
0044ca80 ADD R9,qword ptr [RSP + 0x30]
0044ca85 ADD R11,qword ptr [RSP + 0x40]
0044ca8a ADD R9,RAX
0044ca8d MOV qword ptr [RSP + 0x70],R14
0044ca92 MOV R14,qword ptr [RSP + 0x58]
0044ca97 XOR RSI,R10
0044ca9a XOR R15,R9
0044ca9d ROL RSI,0x20
0044caa1 ADD R10,qword ptr [RSP + 0x18]
0044caa6 ADD R11,RCX
0044caa9 ROL R15,0x20
0044caad ADD R12,RSI
0044cab0 ADD R9,qword ptr [RSP + 0x128]
0044cab8 ADD R14,R15
0044cabb XOR RDX,R12
0044cabe XOR RAX,R14
0044cac1 ROR RDX,0x18
0044cac5 ROR RAX,0x18
0044cac9 ADD R10,RDX
0044cacc ADD R9,RAX
0044cacf XOR RSI,R10
0044cad2 XOR R15,R9
0044cad5 ROR RSI,0x10
0044cad9 ROR R15,0x10
0044cadd ADD R12,RSI
0044cae0 ADD R14,R15
0044cae3 XOR R15,R11
0044cae6 XOR RDX,R12
0044cae9 ROL R15,0x20
0044caed XOR RAX,R14
0044caf0 ROL RDX,0x1
0044caf3 ADD R12,R15
0044caf6 ROL RAX,0x1
0044caf9 XOR RCX,R12
0044cafc ADD RBX,qword ptr [RSP + 0x108]
0044cb04 ADD R10,qword ptr [RSP + 0x20]
0044cb09 ADD RBX,RDX
0044cb0c ADD R10,RAX
0044cb0f ROR RCX,0x18
0044cb13 ADD R11,qword ptr [RSP + 0xb8]
0044cb1b XOR R8,RBX
0044cb1e XOR RDI,R10
0044cb21 ADD RBX,qword ptr [RSP + 0x38]
0044cb26 ADD R11,RCX
0044cb29 ROL R8,0x20
0044cb2d ROL RDI,0x20
0044cb31 XOR R15,R11
0044cb34 ADD R10,qword ptr [RSP + 0x28]
0044cb39 ADD R14,R8
0044cb3c ADD R13,RDI
0044cb3f ROR R15,0x10
0044cb43 XOR RDX,R14
0044cb46 XOR RAX,R13
0044cb49 ADD R12,R15
0044cb4c ROR RDX,0x18
0044cb50 ROR RAX,0x18
0044cb54 XOR RCX,R12
0044cb57 ADD RBX,RDX
0044cb5a ADD R10,RAX
0044cb5d ROL RCX,0x1
0044cb60 XOR R8,RBX
0044cb63 ROR R8,0x10
0044cb67 ADD R14,R8
0044cb6a MOV qword ptr [RSP + 0x58],R14
0044cb6f XOR RDX,R14
0044cb72 MOV R14,qword ptr [RSP + 0x70]
0044cb77 ROL RDX,0x1
0044cb7a XOR RDI,R10
0044cb7d ADD R9,qword ptr [RSP + 0xc8]
0044cb85 ADD R11,qword ptr [RSP + 0x10]
0044cb8a ADD R9,R14
0044cb8d ROR RDI,0x10
0044cb91 XOR RSI,R9
0044cb94 ADD R9,qword ptr [RSP + 0x118]
0044cb9c ADD R13,RDI
0044cb9f ROL RSI,0x20
0044cba3 XOR RAX,R13
0044cba6 ADD RBP,RSI
0044cba9 ROL RAX,0x1
0044cbac XOR R14,RBP
0044cbaf ROR R14,0x18
0044cbb3 ADD R9,R14
0044cbb6 XOR RSI,R9
0044cbb9 ROR RSI,0x10
0044cbbd ADD RBP,RSI
0044cbc0 XOR R14,RBP
0044cbc3 ROL R14,0x1
0044cbc6 ADD R11,R14
0044cbc9 XOR R8,R11
0044cbcc ADD R11,qword ptr [RSP + 0x38]
0044cbd1 ROL R8,0x20
0044cbd5 ADD R13,R8
0044cbd8 XOR R14,R13
0044cbdb ROR R14,0x18
0044cbdf ADD R11,R14
0044cbe2 XOR R8,R11
0044cbe5 ROR R8,0x10
0044cbe9 ADD R13,R8
0044cbec XOR R14,R13
0044cbef ROL R14,0x1
0044cbf2 ADD RBX,qword ptr [RSP + 0x20]
0044cbf7 ADD R10,qword ptr [RSP]
0044cbfb ADD RBX,RCX
0044cbfe ADD R10,RDX
0044cc01 ADD R9,qword ptr [RSP + 0x28]
0044cc06 MOV qword ptr [RSP + 0x70],R14
0044cc0b XOR RDI,RBX
0044cc0e XOR RSI,R10
0044cc11 ADD RBX,qword ptr [RSP + 0x30]
0044cc16 ADD R9,RAX
0044cc19 ROL RDI,0x20
0044cc1d ROL RSI,0x20
0044cc21 MOV R14,qword ptr [RSP + 0x58]
0044cc26 XOR R15,R9
0044cc29 ADD RBP,RDI
0044cc2c ADD R12,RSI
0044cc2f ADD R10,qword ptr [RSP + 0x108]
