005b9aa0 SUB RSI,-0x80
005b9c55 MOV R9,qword ptr [RSI + 0x38]
005b9c59 MOV R10,qword ptr [RSI + 0x40]
005b9c5d SHL R9,0x1b
005b9c61 MOV R11,R10
005b9c64 SHL R10,0x38
005b9c68 SHR R11,0x8
005b9c6c ADD RAX,R9
005b9c6f ADD RAX,R10
005b9c72 ADC R11,0x0
005b9c76 MOV qword ptr [RDI + 0x50],RAX
005b9c7a MOV RAX,R11
005b9c7d MOV R8,qword ptr [RSI + 0x48]
005b9c81 MOV R9,qword ptr [RSI + 0x50]
005b9c85 SHL R8,0x15
005b9c89 MOV R10,R9
005b9c8c SHL R9,0x32
005b9c90 SHR R10,0xe
005b9c94 ADD RAX,R8
005b9c97 ADD RAX,R9
005b9c9a ADC R10,0x0
005b9c9e MOV qword ptr [RDI + 0x58],RAX
005b9ca2 MOV RAX,R10
005b9ca5 MOV R11,qword ptr [RSI + 0x58]
005b9ca9 MOV R8,qword ptr [RSI + 0x60]
005b9cad SHL R11,0xf
005b9cb1 MOV R9,R8
005b9cb4 SHL R8,0x2c
005b9cb8 SHR R9,0x14
005b9cbc ADD RAX,R11
005b9cbf ADD RAX,R8
005b9cc2 ADC R9,0x0
005b9cc6 MOV qword ptr [RDI + 0x60],RAX
005b9cca MOV RAX,R9
005b9ccd MOV R10,qword ptr [RSI + 0x68]
005b9cd1 MOV R11,qword ptr [RSI + 0x70]
005b9cd5 SHL R10,0x9
005b9cd9 MOV R8,R11
005b9cdc SHL R11,0x26
005b9ce0 SHR R8,0x1a
005b9ce4 ADD RAX,R10
005b9ce7 ADD RAX,R11
005b9cea ADC R8,0x0
005b9cee MOV qword ptr [RDI + 0x68],RAX
005b9cf2 MOV RAX,R8
005b9cf5 MOV R9,qword ptr [RSI + 0x78]
005b9cf9 MOV R10,qword ptr [RSI + 0x80]
005b9d00 MOV R11,qword ptr [RSI + 0x88]
005b9d07 SHL R9,0x3
005b9d0b SHL R10,0x20
005b9d0f MOV R8,R11
005b9d12 SHL R11,0x3d
005b9d16 SHR R8,0x3
005b9d1a ADD RAX,R9
005b9d1d ADD RAX,R10
005b9d20 ADD RAX,R11
005b9d23 ADC R8,0x0
005b9d27 MOV qword ptr [RDI + 0x70],RAX
005b9d2b MOV RAX,R8
005b9d2e MOV R9,qword ptr [RSI + 0x90]
005b9d35 MOV R10,qword ptr [RSI + 0x98]
005b9d3c SHL R9,0x1a
005b9d40 MOV R11,R10
005b9d43 SHL R10,0x37
005b9d47 SHR R11,0x9
005b9d4b ADD RAX,R9
005b9d4e ADD RAX,R10
005b9d51 ADC R11,0x0
005b9d55 MOV qword ptr [RDI + 0x78],RAX
005b9d59 MOV RAX,R11
005b9d5c RET
