004d42a0 PUSH R15
004d42a2 PUSH R14
004d42a4 PUSH R13
004d42a6 PUSH R12
004d42a8 PUSH RBP
004d42a9 PUSH RBX
004d42aa MOVSXD R14,dword ptr [RSI + 0x14]
004d4375 LEA EBP,[RDX + RBP*0x2]
004d4378 IMUL RBX,R12
004d437c MOVSXD R9,R9D
004d437f MOVSXD RBP,EBP
004d4382 MOVSXD R11,R11D
004d4385 IMUL R11,qword ptr [RSP + -0x50]
004d438b ADD RBX,R13
004d438e MOV R13,R8
004d4391 IMUL R13,R9
004d4395 ADD R13,RBX
004d4398 MOV RBX,qword ptr [RSP + -0x28]
004d439d IMUL RBX,RBP
004d43a1 ADD RBX,R13
004d43a4 LEA R13,[RBX + R11*0x1]
004d43a8 MOV R11,qword ptr [RSP + -0x20]
004d43ad IMUL R11,RCX
004d43b1 MOV RBX,R11
004d43b4 MOV R11,R10
004d43b7 IMUL R11,RSI
004d43bb ADD R11,RBX
004d43be MOV RBX,R8
004d43c1 IMUL RBX,R12
004d43c5 ADD RBX,R11
004d43c8 MOV R11,RAX
004d43cb IMUL R11,R9
004d43cf ADD R11,RBX
004d43d2 MOV RBX,R15
004d43d5 IMUL RBX,RBP
004d43d9 ADD R11,RBX
004d43dc MOV RBX,RCX
004d43df MOV qword ptr [RSP + -0x10],R11
004d43e4 MOV R11,qword ptr [RSP + -0x20]
004d43e9 IMUL RBX,R10
004d43ed IMUL R11,RDI
004d43f1 ADD R11,RBX
004d43f4 MOV RBX,R8
004d43f7 IMUL RBX,RSI
004d43fb ADD R11,RBX
004d43fe MOV RBX,qword ptr [RSP + -0x28]
004d4403 IMUL RBX,R12
004d4407 IMUL RBP,qword ptr [RSP + -0x58]
004d440d ADD RBX,R11
004d4410 MOV R11,R15
004d4413 IMUL R11,R9
004d4417 ADD R11,RBX
004d441a MOV RBX,qword ptr [RSP + -0x40]
004d441f ADD RBP,R11
004d4422 MOV R11,R10
004d4425 IMUL RBX,RCX
004d4429 IMUL R11,RDI
004d442d IMUL R10,R10
004d4431 ADD R11,RBX
004d4434 MOV RBX,RAX
004d4437 IMUL RBX,RSI
004d443b ADD RBX,R11
004d443e MOV R11,R15
004d4441 IMUL R11,R12
004d4445 ADD R11,RBX
004d4448 MOVSXD RBX,EDX
004d444b ADD EDX,EDX
004d444d IMUL RBX,R9
004d4451 MOVSXD RDX,EDX
004d4454 IMUL RDX,R12
004d4458 IMUL R9,qword ptr [RSP + -0x38]
004d445e ADD R11,RBX
004d4461 MOV qword ptr [RSP + -0x20],R11
004d4466 MOV R11,RCX
004d4469 IMUL R11,RAX
004d446d MOV RBX,R11
004d4470 MOV R11,RDI
004d4473 IMUL R11,R8
004d4477 ADD R11,RBX
004d447a MOV RBX,qword ptr [RSP + -0x30]
004d447f ADD R10,R11
004d4482 MOV R11,R15
004d4485 IMUL R11,RSI
004d4489 ADD R11,R10
004d448c MOV R10,qword ptr [RSP + -0x50]
004d4491 ADD RDX,R11
004d4494 MOV R11,qword ptr [RSP + -0x58]
004d4499 ADD R9,RDX
004d449c IMUL R10,RCX
004d44a0 MOV RDX,RAX
004d44a3 IMUL RDX,RDI
004d44a7 ADD RDX,R10
004d44aa MOV R10,qword ptr [RSP + -0x40]
004d44af IMUL R10,R14
004d44b3 ADD R10,RDX
004d44b6 MOV RDX,R11
004d44b9 IMUL RDX,RSI
004d44bd IMUL RBX,R12
004d44c1 IMUL R12,qword ptr [RSP + -0x48]
004d44c7 ADD RDX,R10
004d44ca MOV R10,RDI
004d44cd IMUL R10,R15
004d44d1 LEA RBX,[RDX + RBX*0x1]
004d44d5 MOV RDX,R11
004d44d8 IMUL RDX,RCX
004d44dc IMUL R15,R8
004d44e0 ADD R10,RDX
004d44e3 MOV RDX,RAX
004d44e6 IMUL RDX,R14
004d44ea ADD RDX,R10
004d44ed MOV R10,qword ptr [RSP + -0x40]
004d44f2 IMUL R10,R8
004d44f6 ADD RDX,R10
004d44f9 MOV R10,qword ptr [RSP + -0x30]
004d44fe IMUL R10,RSI
004d4502 ADD R10,RDX
004d4505 MOV RDX,qword ptr [RSP + -0x38]
004d450a ADD R12,R10
004d450d IMUL RDX,RCX
004d4511 MOV R10,RDX
004d4514 MOV RDX,R11
004d4517 MOV R11,qword ptr [RSP + -0x48]
004d451c IMUL RDX,RDI
004d4520 ADD RDX,R10
004d4523 MOV R10,qword ptr [RSP + -0x50]
004d4528 IMUL R10,R14
004d452c ADD R10,RDX
004d452f MOV RDX,RAX
004d4532 IMUL RDX,R8
004d4536 IMUL RAX,RAX
004d453a ADD RDX,R10
004d453d MOV R10,R11
004d4540 IMUL R10,RSI
004d4544 IMUL R11,RCX
004d4548 ADD RDX,R10
004d454b MOV R10,qword ptr [RSP + -0x30]
004d4550 IMUL R10,RDI
004d4554 ADD R10,R11
004d4557 MOV R11,qword ptr [RSP + -0x58]
004d455c IMUL R11,R14
004d4560 ADD R11,R10
004d4563 MOV R10,R13
004d4566 ADD R15,R11
004d4569 ADD RAX,R15
004d456c MOV R15,qword ptr [RSP + -0x18]
004d4571 IMUL RSI,R15
004d4575 IMUL RCX,R15
004d4579 ADD RAX,RSI
004d457c MOV RSI,qword ptr [RSP + -0x48]
004d4581 IMUL RSI,RDI
004d4585 ADD RCX,RSI
004d4588 MOV RSI,qword ptr [RSP + -0x38]
004d458d IMUL RSI,R14
004d4591 MOV R11,RSI
004d4594 LEA RSI,[R13 + 0x2000000]
004d459b ADD R11,RCX
004d459e MOV RCX,qword ptr [RSP + -0x58]
004d45a3 IMUL RCX,R8
004d45a7 ADD R11,RCX
004d45aa MOV RCX,qword ptr [RSP + -0x50]
004d45af IMUL RCX,qword ptr [RSP + -0x28]
004d45b5 ADD R11,RCX
004d45b8 MOV RCX,RSI
004d45bb AND RSI,-0x4000000
004d45c2 SUB R10,RSI
004d45c5 LEA RSI,[R9 + 0x2000000]
004d45cc SAR RCX,0x1a
004d45d0 ADD RCX,qword ptr [RSP + -0x10]
004d45d5 MOV R8,RSI
004d45d8 AND RSI,-0x4000000
004d45df MOV RDI,RSI
004d45e2 MOV RSI,R9
004d45e5 SAR R8,0x1a
004d45e9 SUB RSI,RDI
004d45ec LEA RDI,[RCX + 0x1000000]
004d45f3 ADD R8,RBX
004d45f6 MOV R9,RDI
004d45f9 AND RDI,-0x2000000
004d4600 SUB RCX,RDI
004d4603 SAR R9,0x19
004d4607 LEA RDI,[R8 + 0x1000000]
004d460e MOV qword ptr [RSP + -0x58],RCX
004d4613 ADD R9,RBP
004d4616 MOV RCX,RDI
004d4619 AND RDI,-0x2000000
004d4620 SUB R8,RDI
004d4623 LEA R14,[R9 + 0x2000000]
004d462a SAR RCX,0x19
004d462e MOV qword ptr [RSP + -0x50],R8
004d4633 ADD RCX,R12
004d4636 MOV R8,qword ptr [RSP + -0x20]
004d463b MOV RBX,R14
004d463e SAR RBX,0x1a
004d4642 LEA R12,[RCX + 0x2000000]
004d4649 ADD R8,RBX
004d464c MOV RDI,R12
004d464f SAR RDI,0x1a
004d4653 LEA R13,[R8 + 0x1000000]
004d465a LEA RBX,[RDI + RDX*0x1]
004d465e MOV RDI,R13
004d4661 LEA RDX,[RBX + 0x1000000]
004d4668 SAR RDI,0x19
004d466c MOV qword ptr [RSP + -0x48],RBX
004d4671 MOV qword ptr [RSP + -0x40],RDX
004d4676 ADD RDI,RSI
004d4679 SAR RDX,0x19
004d467d AND R14,-0x4000000
004d4684 ADD RDX,RAX
004d4687 LEA RSI,[RDI + 0x2000000]
004d468e SUB R9,R14
004d4691 AND R12,-0x4000000
004d4698 LEA RBP,[RDX + 0x2000000]
004d469f SUB RCX,R12
004d46a2 AND R13,-0x2000000
004d46a9 MOV RAX,RBP
004d46ac AND RBP,-0x4000000
004d46b3 SUB R8,R13
004d46b6 SAR RAX,0x1a
004d46ba SUB RDX,RBP
004d46bd ADD RAX,R11
004d46c0 LEA RBX,[RAX + 0x1000000]
004d46c7 MOV R11,RBX
004d46ca AND RBX,-0x2000000
004d46d1 SAR R11,0x19
004d46d5 SUB RAX,RBX
004d46d8 LEA R15,[R11 + R11*0x8]
004d46dc LEA R11,[R11 + R15*0x2]
004d46e0 ADD R11,R10
004d46e3 LEA R10,[R11 + 0x2000000]
004d46ea MOV R15,R10
004d46ed SAR R10,0x1a
004d46f1 ADD R10,qword ptr [RSP + -0x58]
004d46f6 AND R15,-0x4000000
004d46fd SUB R11,R15
004d4700 MOV R15,qword ptr [RSP + -0x8]
004d4705 MOV dword ptr [R15],R11D
004d4708 MOV dword ptr [R15 + 0x4],R10D
004d470c MOV dword ptr [R15 + 0x8],R9D
004d4710 MOV R9,RSI
004d4713 SAR RSI,0x1a
004d4717 ADD RSI,qword ptr [RSP + -0x50]
004d471c MOV dword ptr [R15 + 0x14],ESI
004d4720 MOV RSI,qword ptr [RSP + -0x40]
004d4725 AND R9,-0x4000000
004d472c MOV dword ptr [R15 + 0x18],ECX
004d4730 MOV RCX,qword ptr [RSP + -0x48]
004d4735 SUB RDI,R9
004d4738 AND RSI,-0x2000000
004d473f MOV dword ptr [R15 + 0xc],R8D
004d4743 SUB RCX,RSI
004d4746 MOV dword ptr [R15 + 0x10],EDI
004d474a MOV dword ptr [R15 + 0x1c],ECX
004d474e MOV dword ptr [R15 + 0x20],EDX
004d4752 MOV dword ptr [R15 + 0x24],EAX
004d4756 POP RBX
004d4757 POP RBP
004d4758 POP R12
004d475a POP R13
004d475c POP R14
004d475e POP R15
004d4760 RET
