004b83a0 LEA R10,[RSP]
004b8585 MOVDQA XMM1,xmmword ptr [R11 + 0x10]
004b858b MOVDQA XMM2,xmmword ptr [R11 + 0x20]
004b8591 PAND XMM0,xmmword ptr [RAX]
004b8595 MOVDQA XMM3,xmmword ptr [R11 + 0x30]
004b859b PAND XMM1,xmmword ptr [RAX + 0x10]
004b85a0 POR XMM4,XMM0
004b85a4 PAND XMM2,xmmword ptr [RAX + 0x20]
004b85a9 POR XMM5,XMM1
004b85ad PAND XMM3,xmmword ptr [RAX + 0x30]
004b85b2 POR XMM4,XMM2
004b85b6 POR XMM5,XMM3
004b85ba MOVDQA XMM0,xmmword ptr [R11 + 0x40]
004b85c0 MOVDQA XMM1,xmmword ptr [R11 + 0x50]
004b85c6 MOVDQA XMM2,xmmword ptr [R11 + 0x60]
004b85cc PAND XMM0,xmmword ptr [RAX + 0x40]
004b85d1 MOVDQA XMM3,xmmword ptr [R11 + 0x70]
004b85d7 PAND XMM1,xmmword ptr [RAX + 0x50]
004b85dc POR XMM4,XMM0
004b85e0 PAND XMM2,xmmword ptr [RAX + 0x60]
004b85e5 POR XMM5,XMM1
004b85e9 PAND XMM3,xmmword ptr [RAX + 0x70]
004b85ee POR XMM4,XMM2
004b85f2 POR XMM5,XMM3
004b85f6 POR XMM4,XMM5
004b85fa LEA R11,[R11 + 0x100]
004b8601 PSHUFD XMM0,XMM4,0x4e
004b8606 POR XMM0,XMM4
004b860a MOVQ qword ptr [RDI],XMM0
004b860e LEA RDI,[RDI + 0x8]
004b8612 SUB ESI,0x1
004b8615 JNZ 0x004b8500
004b861b LEA RSP,[R10]
004b861e RET
