005aa670 ENDBR64
005aa674 PUSH RBP
005aa675 LEA RAX,[RSI + 0x48]
005aa849 MOV EBX,ESI
005aa84b SHR R9D,0x10
005aa84f SHR ECX,0x18
005aa852 MOVZX EBX,BH
005aa855 MOVZX R9D,R9B
005aa859 MOV ECX,dword ptr [RAX + RCX*0x4]
005aa85c ADD ECX,dword ptr [RAX + R9*0x4 + 0x400]
005aa864 MOV R9D,EBX
005aa867 ADD R9D,0x200
005aa86e XOR ECX,dword ptr [RAX + R9*0x4]
005aa872 MOVZX R9D,SIL
005aa876 ADD ECX,dword ptr [RAX + R9*0x4 + 0xc00]
005aa87e XOR ECX,R8D
005aa881 XOR ESI,dword ptr [RDX + 0x24]
005aa884 MOV R9D,ECX
005aa887 MOV R8D,ESI
005aa88a MOV ESI,ECX
005aa88c MOVZX EBX,CH
005aa88f SHR R9D,0x10
005aa893 SHR ESI,0x18
005aa896 MOVZX R9D,R9B
005aa89a MOV ESI,dword ptr [RAX + RSI*0x4]
005aa89d ADD ESI,dword ptr [RAX + R9*0x4 + 0x400]
005aa8a5 MOV R9D,EBX
005aa8a8 ADD R9D,0x200
005aa8af XOR ESI,dword ptr [RAX + R9*0x4]
005aa8b3 MOVZX R9D,CL
005aa8b7 XOR ECX,dword ptr [RDX + 0x28]
005aa8ba ADD ESI,dword ptr [RAX + R9*0x4 + 0xc00]
005aa8c2 XOR ESI,R8D
005aa8c5 MOV R8D,ECX
005aa8c8 MOV R9D,ESI
005aa8cb MOV ECX,ESI
005aa8cd MOV EBX,ESI
005aa8cf SHR R9D,0x10
005aa8d3 SHR ECX,0x18
005aa8d6 MOVZX EBX,BH
005aa8d9 MOVZX R9D,R9B
005aa8dd MOV ECX,dword ptr [RAX + RCX*0x4]
005aa8e0 ADD ECX,dword ptr [RAX + R9*0x4 + 0x400]
005aa8e8 MOV R9D,EBX
005aa8eb ADD R9D,0x200
005aa8f2 XOR ECX,dword ptr [RAX + R9*0x4]
005aa8f6 MOVZX R9D,SIL
005aa8fa XOR ESI,dword ptr [RDX + 0x2c]
005aa8fd ADD ECX,dword ptr [RAX + R9*0x4 + 0xc00]
005aa905 XOR ECX,R8D
005aa908 MOV R8D,ESI
005aa90b MOV R9D,ECX
005aa90e MOV ESI,ECX
005aa910 MOVZX EBX,CH
005aa913 SHR R9D,0x10
005aa917 SHR ESI,0x18
005aa91a MOVZX R9D,R9B
005aa91e MOV ESI,dword ptr [RAX + RSI*0x4]
005aa921 ADD ESI,dword ptr [RAX + R9*0x4 + 0x400]
005aa929 MOV R9D,EBX
005aa92c ADD R9D,0x200
005aa933 XOR ESI,dword ptr [RAX + R9*0x4]
005aa937 MOVZX R9D,CL
005aa93b XOR ECX,dword ptr [RDX + 0x30]
005aa93e ADD ESI,dword ptr [RAX + R9*0x4 + 0xc00]
005aa946 XOR ESI,R8D
005aa949 MOV R8D,ECX
005aa94c MOV R9D,ESI
005aa94f MOV ECX,ESI
005aa951 MOV EBX,ESI
005aa953 SHR R9D,0x10
005aa957 SHR ECX,0x18
005aa95a MOVZX EBX,BH
005aa95d MOVZX R9D,R9B
005aa961 MOV ECX,dword ptr [RAX + RCX*0x4]
005aa964 ADD ECX,dword ptr [RAX + R9*0x4 + 0x400]
005aa96c MOV R9D,EBX
005aa96f ADD R9D,0x200
005aa976 XOR ECX,dword ptr [RAX + R9*0x4]
005aa97a MOVZX R9D,SIL
005aa97e ADD ECX,dword ptr [RAX + R9*0x4 + 0xc00]
005aa986 XOR ECX,R8D
005aa989 XOR ESI,dword ptr [RDX + 0x34]
005aa98c MOV R9D,ECX
005aa98f MOV R8D,ESI
005aa992 MOV ESI,ECX
005aa994 MOVZX EBX,CH
005aa997 SHR R9D,0x10
005aa99b SHR ESI,0x18
005aa99e MOVZX R9D,R9B
005aa9a2 MOV ESI,dword ptr [RAX + RSI*0x4]
005aa9a5 ADD ESI,dword ptr [RAX + R9*0x4 + 0x400]
005aa9ad MOV R9D,EBX
005aa9b0 ADD R9D,0x200
005aa9b7 XOR ESI,dword ptr [RAX + R9*0x4]
005aa9bb MOVZX R9D,CL
005aa9bf XOR ECX,dword ptr [RDX + 0x38]
005aa9c2 ADD ESI,dword ptr [RAX + R9*0x4 + 0xc00]
005aa9ca XOR ESI,R8D
005aa9cd MOV R8D,ECX
005aa9d0 MOV R9D,ESI
005aa9d3 MOV ECX,ESI
005aa9d5 MOV EBX,ESI
005aa9d7 SHR R9D,0x10
005aa9db SHR ECX,0x18
005aa9de MOVZX EBX,BH
005aa9e1 MOVZX R9D,R9B
005aa9e5 MOV ECX,dword ptr [RAX + RCX*0x4]
005aa9e8 ADD ECX,dword ptr [RAX + R9*0x4 + 0x400]
005aa9f0 MOV R9D,EBX
005aa9f3 ADD R9D,0x200
005aa9fa XOR ECX,dword ptr [RAX + R9*0x4]
005aa9fe MOVZX R9D,SIL
005aaa02 XOR ESI,dword ptr [RDX + 0x3c]
005aaa05 ADD ECX,dword ptr [RAX + R9*0x4 + 0xc00]
005aaa0d MOV EBX,ECX
005aaa0f XOR EBX,R8D
005aaa12 MOV R8D,EBX
005aaa15 MOV ECX,EBX
005aaa17 MOVZX EBP,BH
005aaa1a SHR R8D,0x10
005aaa1e SHR ECX,0x18
005aaa21 MOVZX R8D,R8B
005aaa25 MOV ECX,dword ptr [RAX + RCX*0x4]
005aaa28 ADD ECX,dword ptr [RAX + R8*0x4 + 0x400]
005aaa30 MOV R8D,EBP
005aaa33 ADD R8D,0x200
005aaa3a XOR ECX,dword ptr [RAX + R8*0x4]
005aaa3e MOVZX R8D,BL
005aaa42 XOR EBX,dword ptr [RDX + 0x40]
005aaa45 ADD ECX,dword ptr [RAX + R8*0x4 + 0xc00]
005aaa4d MOV R8D,dword ptr [RDX + 0x44]
005aaa51 XOR ECX,ESI
005aaa53 MOV ESI,ECX
005aaa55 MOV EDX,ECX
005aaa57 XOR R8D,ECX
005aaa5a SHR ESI,0x10
005aaa5d SHR EDX,0x18
005aaa60 MOVZX ESI,SIL
005aaa64 MOV EDX,dword ptr [RAX + RDX*0x4]
005aaa67 ADD EDX,dword ptr [RAX + RSI*0x4 + 0x400]
005aaa6e MOVZX ESI,CH
005aaa71 MOVZX ECX,CL
005aaa74 ADD ESI,0x200
005aaa7a XOR EDX,dword ptr [RAX + RSI*0x4]
005aaa7d ADD EDX,dword ptr [RAX + RCX*0x4 + 0xc00]
005aaa84 MOV dword ptr [RDI],R8D
005aaa87 MOV EAX,EDX
005aaa89 XOR EAX,EBX
005aaa8b POP RBX
005aaa8c POP RBP
005aaa8d MOV dword ptr [RDI + 0x4],EAX
005aaa90 RET
